ID,Rooms,Area,Price,Afdeling,Adresse,Postnummer,Googlemaps,X koordinate,Y koordinate,Bolig link,Price/Area
0,1 vær.,41,4292,"Afd, 4 H.V. Kaalunds Vej / Chr. Molbechs Vej",H.V. Kaalunds Vej 1 - 5 / Chr. Molbechs Vej 1 - 21,8000  Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1660566600000000,10.1913213700000000",10.19132137,56.16605666,https://aarhusbolig.dk/afdelinger/?bolignr=89&selskab=31&afdeling=4&antalrum=1,104.6829268292683
1,2 vær.,65,5502,"Afd, 4 H.V. Kaalunds Vej / Chr. Molbechs Vej",H.V. Kaalunds Vej 1 - 5 / Chr. Molbechs Vej 1 - 21,8000  Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1660566600000000,10.1913213700000000",10.19132137,56.16605666,https://aarhusbolig.dk/afdelinger/?bolignr=46&selskab=31&afdeling=4&antalrum=2,84.64615384615385
2,3 vær.,65,5159,"Afd, 4 H.V. Kaalunds Vej / Chr. Molbechs Vej",H.V. Kaalunds Vej 1 - 5 / Chr. Molbechs Vej 1 - 21,8000  Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1660566600000000,10.1913213700000000",10.19132137,56.16605666,https://aarhusbolig.dk/afdelinger/?bolignr=9&selskab=31&afdeling=4&antalrum=3,79.36923076923077
3,3 vær.,77,5950,"Afd, 4 H.V. Kaalunds Vej / Chr. Molbechs Vej",H.V. Kaalunds Vej 1 - 5 / Chr. Molbechs Vej 1 - 21,8000  Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1660566600000000,10.1913213700000000",10.19132137,56.16605666,https://aarhusbolig.dk/afdelinger/?bolignr=11&selskab=31&afdeling=4&antalrum=3,77.27272727272727
4,4 vær.,93,7052,"Afd, 4 H.V. Kaalunds Vej / Chr. Molbechs Vej",H.V. Kaalunds Vej 1 - 5 / Chr. Molbechs Vej 1 - 21,8000  Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1660566600000000,10.1913213700000000",10.19132137,56.16605666,https://aarhusbolig.dk/afdelinger/?bolignr=39&selskab=31&afdeling=4&antalrum=4,75.82795698924731
5,2 vær.,67,5686,Afd. 7 Vestre Ringgade,Vestre Ringgade 178-186,8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1677292600000000,10.1917076100000000",10.19170761,56.16772926,https://aarhusbolig.dk/afdelinger/?bolignr=10&selskab=31&afdeling=7&antalrum=2,84.86567164179104
6,3 vær.,67,5584,Afd. 7 Vestre Ringgade,Vestre Ringgade 178-186,8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1677292600000000,10.1917076100000000",10.19170761,56.16772926,https://aarhusbolig.dk/afdelinger/?bolignr=33&selskab=31&afdeling=7&antalrum=3,83.34328358208955
7,3 vær.,79,6382,Afd. 7 Vestre Ringgade,Vestre Ringgade 178-186,8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1677292600000000,10.1917076100000000",10.19170761,56.16772926,https://aarhusbolig.dk/afdelinger/?bolignr=12&selskab=31&afdeling=7&antalrum=3,80.78481012658227
8,4 vær.,88,7016,Afd. 7 Vestre Ringgade,Vestre Ringgade 178-186,8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1677292600000000,10.1917076100000000",10.19170761,56.16772926,https://aarhusbolig.dk/afdelinger/?bolignr=13&selskab=31&afdeling=7&antalrum=4,79.72727272727273
9,1 vær.,46,4095,Afd. 24 Kirkedammen,Kirkedammen 11-29,8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1398830100000000,10.1786184300000000",10.17861843,56.13988301,https://aarhusbolig.dk/afdelinger/?bolignr=8&selskab=31&afdeling=24&antalrum=1,89.02173913043478
